primary_segment;count;total_value_eur;avg_score
Edilizia;411;30698669211.0;62.97
Lavori pubblici strade;298;14146484000.0;60.5
Impiantisti sottoservizi;239;11535154396.0;60.96
Completamento e finitura edifici;30;1492523449.0;60.07
Industria;7;379518360.0;53.29
