score;cup;title;category;region;province;municipality;value_eur;client;phase;status;source_url
100;C66J15002010005;PROGETTAZIONE DEGLI INTERVENTI DI RIPRISTINO, MANUTENZIONE E SVILUPPO DELLE SISTEMAZIONI IDRAULICO-FORESTALI ATTI ALLA MESSA IN SICUREZZA IDROGEOLOGICA DELLAREA DEL CANDIA PREVISTI DAL PROTOCOLLO CANDIA;Ambiente / rifiuti / depurazione;TOSCANA;MASSA-CARRARA;MASSA;13500000.0;COMUNE DI MASSA - MS -;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/C66J15002010005
100;E68I21000240005;PROGETTO DI FINANZA PER LA CONCESSIONE DELLA RIQUALIFICAZIONE DEL SERVIZIO DI GESTIONE E MANUTENZIONE DEGLI IMPIANTI DI PUBBLICA ILLUMINAZIONE AI SENSI DELL'ART. 180 E 183 DEL D.LGS. 50/2016;Riqualificazione urbana;LAZIO;LATINA;SABAUDIA;13420000.0;COMUNE DI SABAUDIA - LATINA -;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/E68I21000240005
100;H42E22000510009;"IMPIANTI DI PUBBLICA ILLUMINAZIONE E SEMAFORICI; IMPIANTI TERMICI E DI ILLUMINAZIONE INTERNA DEGLI EDIFICI DI PROPRIETÀ COMUNALE; INFRASTRUTTURE FINALIZZATE ALLEROGAZIONE DI SERVIZI SMART CITY; VETTORI ENERGETICI";Infrastrutture / parcheggi;TOSCANA;FIRENZE;SAN CASCIANO IN VAL DI PESA;13418615.0;COMUNE DI SAN CASCIANO IN VAL DI PESA - FI -;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/H42E22000510009
100;G53H20000070005;MESSA IN SICUREZZA DEL POLO SCOLASTICO DI CAPANNORI COMPRENDENTE LA SCUOLA SECONDARIA DI PRIMO GRADO C. PIAGGIA ED IL LICEO SCIENTIFICO E. MAJORANA MEDIANTE DEMOLIZIONE, RICOSTRUZIONE E ADEGUAMENTO STRUTTURE ESISTENTI;Scuole / formazione;TOSCANA;LUCCA;CAPANNORI;13409000.0;COMUNE DI CAPANNORI - LU -;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/G53H20000070005
100;D13I26000030002;RIQUALIFICAZIONE DI VILLA BASILEWSKY E DELLAMPLIAMENTO IN C.A., SITO IN VIA FILIPPO STROZZI 36  FIRENZE;Riqualificazione urbana;TOSCANA;FIRENZE;FIRENZE;13400000.0;REGIONE TOSCANA;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/D13I26000030002
100;I26D16000000004;AREA MINERARIA DI ABBADIA SAN SALVATORE;Ambiente / rifiuti / depurazione;TOSCANA;SIENA;ABBADIA SAN SALVATORE;13391044.0;COMUNE DI ABBADIA SAN SALVATORE - SI -;chiuso;CHIUSO;https://www.opencup.gov.it/portale/progetto/-/cup/I26D16000000004
100;D81B06000400002;VIABILITA' QUADRANTE NORD DI VITERBO;Infrastrutture / parcheggi;LAZIO;VITERBO;VITERBO;13380000.0;COMUNE DI VITERBO - VT -;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/D81B06000400002
100;I64E15001180006;PRESIDIO OSPEDALIERO SANTA MARIA ALLE SCOTTE DELLA AZIENDA OSPEDALIERA UNIVERSITARIA SENESE;Residenziale pubblico / ERS;TOSCANA;SIENA;SIENA;13375000.0;AZIENDA OSPEDALIERA UNIVERSITARIA SENESE;chiuso;CHIUSO;https://www.opencup.gov.it/portale/progetto/-/cup/I64E15001180006
100;B39J10000130003;PARTE RETE STRADALE PROVINCIALE;Infrastrutture / parcheggi;TOSCANA;FIRENZE;MONTELUPO FIORENTINO;13363200.0;CITTA' METROPOLITANA DI FIRENZE;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/B39J10000130003
100;J44H04000080004;PARCO VIA G. BRUNO: COMPLETAMENTO ILLUMINAZIONE PUBBLICA;Riqualificazione urbana;TOSCANA;LIVORNO;LIVORNO;13336000.0;COMUNE DI LIVORNO - LI -;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/J44H04000080004
