score;cup;title;category;region;province;municipality;value_eur;client;source_url
100;J87H11001260004;MUNICIPIO ROMA 6 VIA TORRE ANNUNZIATA,1;Edilizia pubblica;LAZIO;ROMA;ROMA;199876490.0;ROMA CAPITALE;https://www.opencup.gov.it/portale/progetto/-/cup/J87H11001260004
100;C91B24000420005;A 12 AUTOSTRADA GENOVA ROMA;Infrastrutture / parcheggi;TOSCANA;LUCCA;MASSAROSA;199854447.0;CONCESSIONI DEL TIRRENO S.P.A.;https://www.opencup.gov.it/portale/progetto/-/cup/C91B24000420005
100;J64E04000110003;REALIZZAZIONE MURO DI CONTENIMENTO TRA VIA MARCONI E VIA PORTONE;Infrastrutture / parcheggi;MARCHE;ANCONA;OSTRA VETERE;198000000.0;COMUNE DI OSTRA VETERE - AN -;https://www.opencup.gov.it/portale/progetto/-/cup/J64E04000110003
100;F19J04000150004;VIA DEI TRE DENARI;Infrastrutture / parcheggi;LAZIO;ROMA;FIUMICINO;197027130.0;COMUNE DI FIUMICINO - ROMA -;https://www.opencup.gov.it/portale/progetto/-/cup/F19J04000150004
100;E63G01000000006;Valorizzazione immobili con arredo urbano;Riqualificazione urbana;LAZIO;VITERBO;CIVITELLA D'AGLIANO;196800000.0;COMUNE DI CIVITELLA D'AGLIANO - VITERBO -;https://www.opencup.gov.it/portale/progetto/-/cup/E63G01000000006
100;H44E02000000004;RIFACIMENTO CONDOTTA IDRICA DI ALIMENTAZIONE DELLA FRAZIONE SAN CLAUDIO - 2° STRALCIO;Ambiente / rifiuti / depurazione;MARCHE;MACERATA;CORRIDONIA;196671900.0;COMUNE DI CORRIDONIA - MC -;https://www.opencup.gov.it/portale/progetto/-/cup/H44E02000000004
100;J83E10000210002;DIPARTIMENTO TUTELA AMBIENTALE U.O. PROMOZIONE DELL'AGRICOLTURA;Ambiente / rifiuti / depurazione;LAZIO;ROMA;ROMA;196495670.0;ROMA CAPITALE;https://www.opencup.gov.it/portale/progetto/-/cup/J83E10000210002
100;G35F23000500001;REALIZZAZIONE NUOVO OSPEDALE TIBURTINO DGR 898 DEL 14/12/2023;Sanità / RSA;LAZIO;ROMA;TIVOLI;195452164.0;AZIENDA SANITARIA LOCALE ROMA 5;https://www.opencup.gov.it/portale/progetto/-/cup/G35F23000500001
100;J84B10000150005;PROGRAMMA PER LE CELEBRAZIONI DEL 150° ANNIVERSARIO DELLUNITÀ D¿ITALIA. ¿LUOGHI DELLA MEMORIA ¿RESTAURO DEI MONUMENTI DI ROMA¿:INTERVENTO DI RESTAURO DEL MONUMENTO AD ANITA GARIBALDI;Sanità / RSA;LAZIO;ROMA;ROMA;195000000.0;PRESIDENZA DEL CONSIGLIO DEI MINISTRI;https://www.opencup.gov.it/portale/progetto/-/cup/J84B10000150005
100;B71H04000280002;Lavori di riparazione danni alluvionali ottobre 1998 sui torrenti Aia e Palaselva in comune di Otricoli.;Ambiente / rifiuti / depurazione;UMBRIA;TERNI;OTRICOLI;195000000.0;CONSORZIO DI BONIFICA TEVERE-NERA;https://www.opencup.gov.it/portale/progetto/-/cup/B71H04000280002
