score;cup;title;category;region;province;municipality;value_eur;client;phase;status;source_url
100;I25C15000170001;PARTI COMUNI;Residenziale pubblico / ERS;ABRUZZO;L'AQUILA;CALASCIO;81451960.0;COMUNE DI CALASCIO - L'AQUILA -;chiuso;CHIUSO;https://www.opencup.gov.it/portale/progetto/-/cup/I25C15000170001
100;H13I24000030009;CENTRO SPORTIVO ITALCEMENTI;Sport / impianti sportivi;LOMBARDIA;BERGAMO;BERGAMO;80980165.0;COMUNE DI BERGAMO - BG -;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/H13I24000030009
100;E12H20000480001;REALIZZAZIONE DEL SITO DI RACCOLTA NELLA VALLE DEL RIO SAN GIORGIO IN LOCALITÀ CASA MASSIDDA;Ambiente / rifiuti / depurazione;SARDEGNA;SUD SARDEGNA;IGLESIAS;80171386.0;COMUNE DI IGLESIAS - CI -;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/E12H20000480001
100;C41B17000980006;CICLOVIA DEL GARDA (CV TN12 GARDA);Infrastrutture / parcheggi;TRENTINO-ALTO ADIGE;TRENTO;ARCO;80000000.0;PROVINCIA AUTONOMA DI TRENTO;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/C41B17000980006
100;G21B21004870001;VIA ROMA PIAZZA MATTEOTTI PIAZZA AMENDOLA LUNGOMARE NY 11 SETTEMBRE;Riqualificazione urbana;SARDEGNA;CAGLIARI;CAGLIARI;80000000.0;COMUNE DI CAGLIARI - CA -;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/G21B21004870001
100;B21E24000090001;SITI STOCCAGGIO PROVVISORI RSU E DISCARICHE;Ambiente / rifiuti / depurazione;CAMPANIA;TUTTE;TUTTI;80000000.0;REGIONE CAMPANIA;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/B21E24000090001
100;I17B15000710001;DIGA DI CAMPOLATTARO;Ambiente / rifiuti / depurazione;CAMPANIA;BENEVENTO;CAMPOLATTARO;80000000.0;AMMINISTRAZIONE PROVINCIALE DI BENEVENTO;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/I17B15000710001
100;D61B10000240004;RETE IN FIBRA OTTICA;Scuole / formazione;TRENTINO-ALTO ADIGE;TRENTO;TRENTO;80000000.0;COMUNE DI TRENTO - TRENTO -;chiuso;CHIUSO;https://www.opencup.gov.it/portale/progetto/-/cup/D61B10000240004
100;D48G07000000009;INVESTIMENTI LOMBARDI SRL VIA FERMI 33 SAN GIORGIO DI NOGARO.ATTIVITA DI GESTIONE IMMOBILIARE LEGGE 8/70COSTRUZIONE FABBRICATO PER LA PRODUZIONE DI LAMIERE.;Edilizia pubblica;FRIULI-VENEZIA GIULIA;UDINE;SAN GIORGIO DI NOGARO;80000000.0;REGIONE AUTONOMA FRIULI VENEZIA GIULIA;chiuso;CHIUSO;https://www.opencup.gov.it/portale/progetto/-/cup/D48G07000000009
100;B67B14000440001;NUOVO OSPEDALE;Sanità / RSA;PUGLIA;BARI;MONOPOLI;80000000.0;REGIONE PUGLIA;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/B67B14000440001
100;F41G08000000008;PORTO DI TREMESTIERI;Riqualificazione urbana;SICILIA;MESSINA;MESSINA;80000000.0;COMUNE DI MESSINA - ME -;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/F41G08000000008
100;F71B20000200002;TANGENZIALE DELLE AREE INTERNE  III LOTTO: ROCCABASCERANA  ALTAVILLA IRPINA. I STRALCIO;Infrastrutture / parcheggi;CAMPANIA;AVELLINO;ALTAVILLA IRPINA;79082470.0;AMMINISTRAZIONE PROVINCIALE DI AVELLINO;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/F71B20000200002
100;J76G16000220004;TERRITORIO DELL'AMBITO TERRITORIALE OTTIMALE ARO 2 LECCE - PUGLIA FORMATO DAI COMUNI DI MELENDUGNO (CAPOFILA) CALIMERA, CASTRI DI LECCE, VERNOLE, CAPRARICA DI LECCE, SAN DONATO DI LECCE, SAN PIETRO IN LAMA, SAN CESARIO DI LECCE, CAVALLINO E LIZZANELLO;Ambiente / rifiuti / depurazione;PUGLIA;LECCE;MELENDUGNO;78568283.0;COMUNE DI MELENDUGNO - LE -;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/J76G16000220004
100;D19J07000010004;SETTORE STRADE E FOGNE SERVIZIO MANUTENZIONE;Infrastrutture / parcheggi;EMILIA-ROMAGNA;FORLI-CESENA;CESENA;78000000.0;COMUNE DI CESENA - FO -;chiuso;CHIUSO;https://www.opencup.gov.it/portale/progetto/-/cup/D19J07000010004
100;H21E11000250006;"IMMOBILI PRIVATI IN CLASSE DI PRIORITA' ""A"" - PEU 33 SP 2";Edilizia pubblica;MOLISE;CAMPOBASSO;CASTELLINO DEL BIFERNO;77145000.0;COMUNE DI CASTELLINO DEL BIFERNO - CAMPOBASSO -;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/H21E11000250006
100;I82F20000960007;RECUPERO, TUTELA E VALORIZZAZIONE DEL PATRIMONIO STORICO DELL'AZIENZA OSPEDALIERA COMPLESSO OSPEDALIEO SAN GIOVANNI IN ROMA;Riqualificazione urbana;LAZIO;ROMA;ROMA;77000000.0;AZIENDA OSPEDALIERA COMPLESSO OSPEDALIERO SAN GIOVANNI-ADDOLORATA;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/I82F20000960007
100;G18B10000040009;CIMONCINO SRL;Residenziale pubblico / ERS;EMILIA-ROMAGNA;MODENA;MONTECRETO;76908000.0;AMMINISTRAZIONE PROVINCIALE DI MODENA;chiuso;CHIUSO;https://www.opencup.gov.it/portale/progetto/-/cup/G18B10000040009
100;E39E12000300004;RIQUALIFICAZIONE AREA VERDE;Riqualificazione urbana;EMILIA-ROMAGNA;PIACENZA;PIACENZA;76748000.0;COMUNE DI PIACENZA - PC -;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/E39E12000300004
100;E48H24001360001;INTERVENTI FINALIZZATI ALLA RIDUZIONE DEL RISCHIO IDROGEOLOGICO ED AL CONSOLIDAMENTO DEI VERSANTI IN VARIE LOCALITÀ DELLE PROVINCIE DI RE, MO, BO, RA, FC, RN;Sanità / RSA;EMILIA-ROMAGNA;TUTTE;TUTTI;75900000.0;REGIONE EMILIA ROMAGNA;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/E48H24001360001
