value_band;count;total_value_eur;avg_score
>= 1B;119;374098202751.0;86.16
500M - 1B;209;144317375534.0;89.7
100M - 500M;2462;461224568378.0;90.59
50M - 100M;2112;144000794067.0;89.83
20M - 50M;7390;220879699839.0;90.78
5M - 20M;36870;330537268256.0;90.36
1M - 5M;215969;428579654021.0;82.94
500k - 1M;221277;153799582136.0;73.44
200k - 500k;444954;135463020679.0;69.51
