cig;cup_count;cups
4611308BBB;1;F91B00000270011
4611334133;1;F91B00000270011
4638523644;1;F91B00000270011
4662089D89;1;F91B00000270011
4664980F43;1;J69H12000480001
4665077F4F;1;J69H12000480001
47130281BE;1;F91B00000270011
4729002FE3;1;F33H08000000003
4772484A60;1;B63B12000080002
479440000B;1;D33I06000080001
4796511E14;1;H69H09000500003
4909955F07;1;D12J09000400001
4930026228;1;F91B00000270011
4932034B33;1;F91B00000270011
49363347AD;1;I71B02000030019
4943816605;1;F31B05000510001
49691017DC;1;F33H03000010001
5006076898;1;F91B00000270011
50150863E3;1;B41B09000260005
5019557D76;1;B34J06000010008
5060554544;1;F43J13000000003
50673995F0;1;F91B00000270011
5074290C90;1;F91B00000270011
5076617CDD;1;F31B02000110002
5081248A7D;1;I71B02000030019
5087724AA7;1;J21B06000040003
5100197FB1;1;I71B02000030019
5117100C7E;1;E63H05000030005
5178877080;1;J21B06000040003
51820234A8;1;B73B08000130007
5221957F39;1;F77H03001330001
5222615E39;1;F74H10000060009
5224189125;1;I71B02000030019
524295602A;1;J72D10000650001
526020172E;1;J11B09000190002
5281593C69;1;J72D10000650001
5291421ABC;1;B11B13000130006
53104290A5;1;C71B03000380003
5313047116;1;I71B02000030019
5347998B8D;1;J21B06000040003
53610942B9;1;D31B09000010002
53751409D7;1;I71B02000030019
542990100F;1;G63J13000050002
5454310EFC;1;B87H12001940006
55103146F5;1;D21B11000040005
5526085D97;1;I54J08000010009
55326631F1;1;F81B04000040041
560242535D;1;I93B98000000003
5612511697;1;F77H03001330001
5613788468;1;F77H03001330001
56148511A0;1;B34C12000150004
5618919EA1;1;E68D03000000002
5623357CFC;1;H53B11000320003
564413685D;1;F77H03001330001
5644415E98;1;H53B11000320003
5651467A18;1;J13J09000520009
56526412EB;1;B11B13000130006
5653698B2C;1;J94E13000460005
5658292A43;1;D88C04000020004
5663075553;1;D41B14000080005
572349055C;1;I24B13000350003
5742171D66;1;B41B09000260005
574470695A;1;B73D12000570006
5744728B81;1;B23D12000390006
5744764937;1;B87H12001940006
57458021CF;1;J21B06000040003
5746697462;1;D33I06000080001
5759869A41;1;F77H03001330001
5778270B3D;1;G73J12000010009
57862558AC;1;F21B07000310001
5797381624;1;F32E10000080008
580988331F;1;C41B03000140003
5810418C9B;1;F32E10000080008
58240340E6;1;C41B03000140003
5824127DA1;1;C41B03000140003
58282865C1;1;F77H03001330001
5847376F4F;1;F77H03001330001
58485708A3;1;B51B99000010003
5854026F10;1;H39B07000190003
58553503AD;1;E31G13000010004
