cup;cig;source_dataset
H17B16000800005;793430077C;cup_csv.csv
C91B07000460001;0441782A07;cup_csv.csv
B94E21012780001;9826133D75;cup_csv.csv
I87H25000530003;B981A0B22E;cup_csv.csv
D62H16000010002;Z5E2C3B6C8;cup_csv.csv
H41E13000230003;B8FB88FFAD;cup_csv.csv
C69G15001840001;7641944BAD;cup_csv.csv
H48B22000360002;B7FE9C5B97;cup_csv.csv
B63E17000190001;B9B876666F;cup_csv.csv
D33I06000080001;5746697462;cup_csv.csv
B34J06000010008;B97F25199F;cup_csv.csv
H41E13000230003;6987312046;cup_csv.csv
H17B16000800005;7986979792;cup_csv.csv
E63H05000030005;Z3409452E7;cup_csv.csv
H17H21010150005;980801238C;cup_csv.csv
F83I23000080001;9235893403;cup_csv.csv
F88B22001130002;98924693AB;cup_csv.csv
B44D20000040001;BB01563AEF;cup_csv.csv
F22C16000620001;B4646E5FED;cup_csv.csv
D31B09000010002;Z15128964C;cup_csv.csv
I41B19000280001;9336763C8F;cup_csv.csv
F22C16000620001;ZEF3DEF827;cup_csv.csv
F41B99000010001;03354874A0;cup_csv.csv
H13I24000030009;B4E27A12FA;cup_csv.csv
H81B21008560001;Z0C3A265A5;cup_csv.csv
C69G15001840001;ZAB292E7DA;cup_csv.csv
F41B19000540005;B57562AC0C;cup_csv.csv
J72D10000650001;Z3109F5AD3;cup_csv.csv
E38B22001630005;B8B9FB772D;cup_csv.csv
G82E22000030002;B563236EA5;cup_csv.csv
B71J22000050006;B7EC0B02AE;cup_csv.csv
H37H20001490007;84528887D7;cup_csv.csv
F32E10000080008;Z882F3586D;cup_csv.csv
D33I06000080001;ZAE0758971;cup_csv.csv
C69G15001840001;6717725A08;cup_csv.csv
H17H21010150005;A053EE0DBD;cup_csv.csv
J71B18000090006;Z5238248A7;cup_csv.csv
E38B22001630005;B5E4798417;cup_csv.csv
C94H17000710005;ZE82F25015;cup_csv.csv
C66D16010700001;Z063250462;cup_csv.csv
F11B03000350001;ZAC0EE29BF;cup_csv.csv
F33H03000010001;Z3F1612C47;cup_csv.csv
E81D22000050003;A06D6D236A;cup_csv.csv
F32E10000080008;Z33249B911;cup_csv.csv
F41B08000280008;0235940FD4;cup_csv.csv
F33H03000010001;Z301ABDD42;cup_csv.csv
F67H20002130001;YBE2EA6BC8;cup_csv.csv
F41B99000010001;0044852509;cup_csv.csv
E81D22000050003;92296281F9;cup_csv.csv
I41B21003430008;9913713EC2;cup_csv.csv
C79H11000700003;BA5D4319BB;cup_csv.csv
C34E21001350003;B1CFE54AF7;cup_csv.csv
D77H24000760001;B8F1698756;cup_csv.csv
C77H21001890005;8826940D4F;cup_csv.csv
I48D20000740005;908141089A;cup_csv.csv
D31B09000010002;Z88035B28D;cup_csv.csv
G61B06001160007;Z163CBBE8A;cup_csv.csv
I48D20000740005;857939009A;cup_csv.csv
G25B22000120001;B1914766A1;cup_csv.csv
C58B22000220004;A00EBCF93D;cup_csv.csv
J94E13000460005;Z1F319C1AE;cup_csv.csv
H17B16000800005;8717898D01;cup_csv.csv
J58F19000000008;B435CFF703;cup_csv.csv
D41B14000080005;8471137B63;cup_csv.csv
E38B22001630005;BB0CBAA677;cup_csv.csv
F37H01000050001;Z78291F2B7;cup_csv.csv
F70J22000020001;A03B38D265;cup_csv.csv
E81D22000050003;A06D89793C;cup_csv.csv
C11C22006460007;B67B4E266D;cup_csv.csv
E15B20000440002;8000118239;cup_csv.csv
H15F21000630001;B10310BAA4;cup_csv.csv
F41B21000640001;BACB6D2AFB;cup_csv.csv
C58B22000220004;A00B917E7F;cup_csv.csv
H17B16000800005;7984047403;cup_csv.csv
H77H21000500005;B46446D665;cup_csv.csv
E71B04000030001;B5215B9436;cup_csv.csv
G32E22000040003;948062071E;cup_csv.csv
E74C11000080006;31363169D4;cup_csv.csv
I41B21003430008;Z373D6C270;cup_csv.csv
C69G15001840001;ZE32DA5019;cup_csv.csv
B61B22000670006;B3464B6690;cup_csv.csv
E38B22001630005;B6ABD0429B;cup_csv.csv
E38B22001630005;B30AF9FFD7;cup_csv.csv
B37H18000330003;8443697730;cup_csv.csv
H81B21008560001;ZC13AA5104;cup_csv.csv
D77H20002630004;B4C1917F6F;cup_csv.csv
C58B22000220004;A00F1E816D;cup_csv.csv
G95E18000180001;Z843CE9A34;cup_csv.csv
I76H14000090008;B7F365365C;cup_csv.csv
F93G22000030001;A0492A9003;cup_csv.csv
F71B16000510001;YDF3144E42;cup_csv.csv
H41H14000130009;ZF033CD542;cup_csv.csv
C41B03000140003;Z7720612BF;cup_csv.csv
F81B04000040041;Z6A1060EC0;cup_csv.csv
F71B22000930002;ZBC3C781C8;cup_csv.csv
F91D22000070002;B70B53C2DD;cup_csv.csv
H53B11000320003;B9AC82635E;cup_csv.csv
F93G22000030001;A02A41C242;cup_csv.csv
D12J09000400001;ZE032D6F62;cup_csv.csv
C69G15001840001;8914321A65;cup_csv.csv
I58B20001120001;946522893C;cup_csv.csv
E38B22001630005;B628281964;cup_csv.csv
C94H17000710005;B8418C5CC8;cup_csv.csv
J87E20000010004;A062BFFB71;cup_csv.csv
J37H19002880001;8134924FA3;cup_csv.csv
H15F21000630001;9530863CF2;cup_csv.csv
F91B21002580001;B80BB2648B;cup_csv.csv
J87H22002720001;9529767482;cup_csv.csv
C69G15001840001;Y483BDCF58;cup_csv.csv
J37B16000490003;Z9B23CAA3F;cup_csv.csv
H17B16000800005;7860635136;cup_csv.csv
G52E22000020002;A055E29EF9;cup_csv.csv
B25D18000170001;8275703E25;cup_csv.csv
G88I15000040008;ZEC3078509;cup_csv.csv
E81D22000050003;BAECA34DC9;cup_csv.csv
C69G15001840001;67174452FA;cup_csv.csv
F37J22000010007;B1FA102E5D;cup_csv.csv
B63B12000080002;Z3B0712D11;cup_csv.csv
C69G15001840001;Z4E21E2F83;cup_csv.csv
E81D22000050003;9251758838;cup_csv.csv
F41B07000320001;A0632FE16F;cup_csv.csv
C69G15001840001;69734229DF;cup_csv.csv
G52E22000020002;A0022760F8;cup_csv.csv
F93G22000030001;98213480C4;cup_csv.csv
J11B09000190002;0416251D2D;cup_csv.csv
F71B22000930002;Z9D3A8A0BB;cup_csv.csv
J87H22002720001;A06B49959B;cup_csv.csv
F93G22000030001;A0103DB157;cup_csv.csv
C69G15001840001;B5A7887D9D;cup_csv.csv
F48C22000040006;Z6738486FC;cup_csv.csv
C79G14000990001;ZC91D15443;cup_csv.csv
F93G22000030001;A010213907;cup_csv.csv
B93B07000090003;0372669030;cup_csv.csv
J37B16000490003;ZE23D44233;cup_csv.csv
B63B12000080002;ZD913274D9;cup_csv.csv
F37J22000010007;B6AD4EFF73;cup_csv.csv
F81B04000040041;018939882A;cup_csv.csv
E81D22000050003;A06D84ECFD;cup_csv.csv
F93G22000030001;BA45A81C44;cup_csv.csv
E81D22000050003;B0862A6A0B;cup_csv.csv
E38B22001630005;B6CE386DB5;cup_csv.csv
F32E10000080008;703766400F;cup_csv.csv
F37H21002920001;9262308A5A;cup_csv.csv
B77E99002500003;65043821D4;cup_csv.csv
E38B22001630005;B8E8E5DB92;cup_csv.csv
D33I06000080001;Z772023A5B;cup_csv.csv
E71B04000030001;B5BFDA6A84;cup_csv.csv
G52E22000020002;A01526C71B;cup_csv.csv
C69G15001840001;Z4D2A501B4;cup_csv.csv
E38B22001630005;B739F161E3;cup_csv.csv
B85I17000320001;7285321513;cup_csv.csv
H17B16000800005;7652432AA6;cup_csv.csv
H87H20001200005;8442456715;cup_csv.csv
I58I21002190003;9421104CF4;cup_csv.csv
F31B02000110002;ZE80ADD54C;cup_csv.csv
B51B19000440007;ZB436E35F5;cup_csv.csv
F61B20000490001;BA9F5C5773;cup_csv.csv
D12J09000400001;Z7128FD883;cup_csv.csv
F91B00000270011;4198530090;cup_csv.csv
J35I18000020002;ZC724C9B0D;cup_csv.csv
E38B22001630005;B724D36F1D;cup_csv.csv
F84H22001040002;9343860D30;cup_csv.csv
F31B02000080001;76278637AC;cup_csv.csv
I81D22000000006;B188C749E7;cup_csv.csv
C68F17000040003;9089159349;cup_csv.csv
J86J13000450002;B1F4441362;cup_csv.csv
H41H14000130009;86686593B5;cup_csv.csv
