cup;cig;source_dataset
I65F22000500003;A03472E425;cup_csv.csv
C48D18000030003;8094806D38;cup_csv.csv
H72C17000130002;B36C51843B;cup_csv.csv
F83I23000080001;9235893403;cup_csv.csv
F88B22001130002;98924693AB;cup_csv.csv
C35F21000240001;B8C26F0E05;cup_csv.csv
C71B22000840006;B14DF5AAC7;cup_csv.csv
B84B13000140001;Z1B336714B;cup_csv.csv
C66D16010700001;Z063250462;cup_csv.csv
F33H03000010001;Z3F1612C47;cup_csv.csv
F23H19000870001;ZA7326FB9E;cup_csv.csv
E81D22000050003;A06D6D236A;cup_csv.csv
C64H16003300001;8489263970;cup_csv.csv
D72J98000000001;Z782BFCDDE;cup_csv.csv
E31B13000630003;7049777C02;cup_csv.csv
H13E23000690008;9797073067;cup_csv.csv
F33H03000010001;Z301ABDD42;cup_csv.csv
C17B20003640002;9426229240;cup_csv.csv
B99J18002450005;A062E52675;cup_csv.csv
D87H17000470001;9855422783;cup_csv.csv
I39J02000060003;ZD215F7D46;cup_csv.csv
I39J02000060003;5988118F48;cup_csv.csv
E81D22000050003;92296281F9;cup_csv.csv
D73I18000030005;ZD8344BA66;cup_csv.csv
C68B22000170005;A0059E0B9D;cup_csv.csv
J94J24000280002;B64DA71EE9;cup_csv.csv
F75F22000570001;9518902E6A;cup_csv.csv
F73J08000040001;ZBD37CC048;cup_csv.csv
C63D16001790008;ZD02F13DF2;cup_csv.csv
C48D18000040002;B6F07715B5;cup_csv.csv
H78H24000130001;BA226C02D2;cup_csv.csv
E73H06000010001;598674958F;cup_csv.csv
B28I17001280008;945131932C;cup_csv.csv
D51B17001660001;788280694A;cup_csv.csv
D91B18000030001;8855794066;cup_csv.csv
H15D12000790004;4003474B3F;cup_csv.csv
H72C17000130002;96018690F7;cup_csv.csv
F83G22000620001;B9A0A1AE74;cup_csv.csv
E81D22000050003;A06D89793C;cup_csv.csv
C29D17000700005;ZAA342BEDD;cup_csv.csv
H15F21000630001;B10310BAA4;cup_csv.csv
F53H98000000001;Z341DC0F93;cup_csv.csv
B99D15000660003;Z9C31E52C1;cup_csv.csv
B89H18000560001;B94488B997;cup_csv.csv
B71B15000160005;Z9124B15F5;cup_csv.csv
G32E22000040003;948062071E;cup_csv.csv
F11B02000250021;Z0410F9DF6;cup_csv.csv
I57B17000150005;80817349DE;cup_csv.csv
J89D24000160001;B8A30EC745;cup_csv.csv
C61B03000260001;Z590518D94;cup_csv.csv
G11B22000280006;A0543A0938;cup_csv.csv
C94E04000050056;Z1008DF18B;cup_csv.csv
F93G22000030001;A0492A9003;cup_csv.csv
D73I18000030005;ZA6251396D;cup_csv.csv
B99J18002450005;A06641C9D1;cup_csv.csv
F91D22000070002;B70B53C2DD;cup_csv.csv
H14H17000940004;91037815BD;cup_csv.csv
I19C12000030002;B1011867E5;cup_csv.csv
F93G22000030001;A02A41C242;cup_csv.csv
I51B08000160002;A006497338;cup_csv.csv
H63H18000320002;Z9C27AAB53;cup_csv.csv
F73J08000040001;ZD002F9876;cup_csv.csv
E31B13000630003;8670422295;cup_csv.csv
D17B04000080005;89069030E1;cup_csv.csv
F19H17000010001;BAC14969B1;cup_csv.csv
B11B13000160001;82732505E0;cup_csv.csv
I17H20001250005;ZBE30E79EA;cup_csv.csv
D73I18000030005;Z0639DEEC3;cup_csv.csv
G51B21000570001;936254588B;cup_csv.csv
E88B25001160005;B77A219634;cup_csv.csv
B97H11001950003;8450441484;cup_csv.csv
G11B22001380009;9891819B43;cup_csv.csv
H15F21000630001;9530863CF2;cup_csv.csv
E61D22000030002;B7CA0CABD6;cup_csv.csv
C17B20003640002;A0020C39FC;cup_csv.csv
D67H22001070002;9465249A90;cup_csv.csv
I19C12000030002;B417829D97;cup_csv.csv
C63D16001790008;Z3337024A4;cup_csv.csv
F93E15000000001;Z172A7C0DA;cup_csv.csv
F23H19000870001;B293D6F6B7;cup_csv.csv
C57H21001050001;A00A4FF98A;cup_csv.csv
E81D22000050003;BAECA34DC9;cup_csv.csv
F17B22001980004;B0DCC3610E;cup_csv.csv
F37J22000010007;B1FA102E5D;cup_csv.csv
D37B13000300002;7956260175;cup_csv.csv
J85F22000870001;B135FF145E;cup_csv.csv
J12C22000130006;9833797201;cup_csv.csv
B67H21009370008;B24C2DFA58;cup_csv.csv
E81D22000050003;9251758838;cup_csv.csv
J89D24000160001;BAC519E707;cup_csv.csv
F93G22000030001;98213480C4;cup_csv.csv
B19J17000300005;808010271A;cup_csv.csv
B31B21003710001;993985757B;cup_csv.csv
F82B21000030005;94382523F1;cup_csv.csv
I31B07000320008;0161309C62;cup_csv.csv
