municipality;municipality_norm;province;province_norm;province_code;region;branch;branch_candidates;confidence;caps
Altino;ALTINO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66040
Archi;ARCHI;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66044
Ari;ARI;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66010
Arielli;ARIELLI;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66030
Atessa;ATESSA;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66041
Bomba;BOMBA;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66042
Borrello;BORRELLO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66040
Brecciarola;BRECCIAROLA;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66100
Bucchianico;BUCCHIANICO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66011
Buonanotte;BUONANOTTE;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66040
Canosa Sannita;CANOSA SANNITA;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66010
Caporosso;CAPOROSSO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66016
Carpineto Sinello;CARPINETO SINELLO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66030
Carunchio;CARUNCHIO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66050
Casacanditella;CASACANDITELLA;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66010
Casalanguida;CASALANGUIDA;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66031
Casalbordino;CASALBORDINO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66021
Casalbordino Stazione;CASALBORDINO STAZIONE;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66021
Casalincontrada;CASALINCONTRADA;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66012
Casoli;CASOLI;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66043
Castel Frentano;CASTEL FRENTANO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66032
Castelferrato;CASTELFERRATO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66010
Castelguidone;CASTELGUIDONE;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66040
Castiglione Messer Marino;CASTIGLIONE MESSER MARINO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66033
Celenza Sul Trigno;CELENZA SUL TRIGNO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66050
Chieti;CHIETI;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66100
Chieti Scalo;CHIETI SCALO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66100
Chieti Stazione;CHIETI STAZIONE;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66100
Civitaluparella;CIVITALUPARELLA;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66040
Civitella Messer Raimondo;CIVITELLA MESSER RAIMONDO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66010
Colle Sant'Antonio;COLLE SANT ANTONIO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66011
Colledimacine;COLLEDIMACINE;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66010
Colledimezzo;COLLEDIMEZZO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66040
Comino;COMINO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66016
Crecchio;CRECCHIO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66014
Cupello;CUPELLO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66051
Dogliola;DOGLIOLA;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66050
Fallascoso;FALLASCOSO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66019
Fallo;FALLO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66040
Fara Filiorum Petri;FARA FILIORUM PETRI;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66010
Fara San Martino;FARA SAN MARTINO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66015
Filetto;FILETTO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66030
Fossacesia;FOSSACESIA;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66022
Fossacesia Marina;FOSSACESIA MARINA;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66022
Fraine;FRAINE;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66050
Francavilla Al Mare;FRANCAVILLA AL MARE;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66023
Francavilla Al Mare Rione Foro;FRANCAVILLA AL MARE RIONE FORO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66023
Fresagrandinaria;FRESAGRANDINARIA;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66050
Frisa;FRISA;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66030
Furci;FURCI;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66050
Gamberale;GAMBERALE;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66040
Gessopalena;GESSOPALENA;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66010
Gissi;GISSI;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66052
Giuliano Teatino;GIULIANO TEATINO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66010
Giuliopoli;GIULIOPOLI;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66040
Guardiabruna;GUARDIABRUNA;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66050
Guardiagrele;GUARDIAGRELE;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66016
Guastameroli;GUASTAMEROLI;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66030
Guilmi;GUILMI;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66050
Incoronata Di Vasto;INCORONATA DI VASTO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66054
Lama Dei Peligni;LAMA DEI PELIGNI;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66010
Lanciano;LANCIANO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66034
Lentella;LENTELLA;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66050
Lettopalena;LETTOPALENA;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66010
Liscia;LISCIA;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66050
Madonna Del Carmine;MADONNA DEL CARMINE;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66034
Marina Di San Vito;MARINA DI SAN VITO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66038
Marina Di Vasto;MARINA DI VASTO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66054
Miglianico;MIGLIANICO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66010
Miracoli;MIRACOLI;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66021
Montazzoli;MONTAZZOLI;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66030
Monte Marcone;MONTE MARCONE;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66041
Montebello Sul Sangro;MONTEBELLO SUL SANGRO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66040
Monteferrante;MONTEFERRANTE;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66040
Montelapiano;MONTELAPIANO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66040
Montenerodomo;MONTENERODOMO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66010
Monteodorisio;MONTEODORISIO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66050
Mozzagrogna;MOZZAGROGNA;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66030
Nasuti;NASUTI;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66034
Olmi;OLMI;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66050
Orsogna;ORSOGNA;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66036
Ortona;ORTONA;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66026
Ortona Foro;ORTONA FORO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66026
Ortona Porto;ORTONA PORTO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66026
Paglieta;PAGLIETA;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66020
Palena;PALENA;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66017
Palmoli;PALMOLI;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66050
Palombaro;PALOMBARO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66010
Pennadomo;PENNADOMO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66040
Pennapiedimonte;PENNAPIEDIMONTE;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66010
Perano;PERANO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66040
Piana La Fara;PIANA LA FARA;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66041
Piane D'Archi;PIANE D ARCHI;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66044
Piano Delle Fonti;PIANO DELLE FONTI;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66016
Piazzano;PIAZZANO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66041
Piazzano Di Atessa;PIAZZANO DI ATESSA;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66041
Pietraferrazzana;PIETRAFERRAZZANA;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66040
Pizzoferrato;PIZZOFERRATO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66040
Poggiofiorito;POGGIOFIORITO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66030
Pollutri;POLLUTRI;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66020
Pretoro;PRETORO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66010
Quadri;QUADRI;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66040
Rapino;RAPINO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66010
Ripa Teatina;RIPA TEATINA;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66010
Rizzacorno;RIZZACORNO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66034
Rocca San Giovanni;ROCCA SAN GIOVANNI;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66020
Roccamontepiano;ROCCAMONTEPIANO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66010
Roccascalegna;ROCCASCALEGNA;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66040
Roccaspinalveti;ROCCASPINALVETI;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66050
Roio Del Sangro;ROIO DEL SANGRO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66040
Rosello;ROSELLO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66040
Sambuceto;SAMBUCETO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66020
San Buono;SAN BUONO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66050
San Giacomo Di Scerni;SAN GIACOMO DI SCERNI;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66020
San Giovanni;SAN GIOVANNI;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66046
San Giovanni Lipioni;SAN GIOVANNI LIPIONI;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66050
San Giovanni Teatino;SAN GIOVANNI TEATINO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66020
San Leonardo;SAN LEONARDO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66026
San Lorenzo Di Vasto;SAN LORENZO DI VASTO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66054
San Martino Sulla Marrucina;SAN MARTINO SULLA MARRUCINA;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66010
San Nicola;SAN NICOLA;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66026
San Pietro;SAN PIETRO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66010
San Rocco;SAN ROCCO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66010
San Salvo;SAN SALVO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66050
San Salvo Marina;SAN SALVO MARINA;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66050
San Vito Chietino;SAN VITO CHIETINO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66038
Sant'Amato;SANT AMATO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66034
Sant'Apollinare Chietino;SANT APOLLINARE CHIETINO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66038
Sant'Egidio;SANT EGIDIO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66020
Sant'Eusanio Del Sangro;SANT EUSANIO DEL SANGRO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66037
Santa Maria Imbaro;SANTA MARIA IMBARO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66030
Scerni;SCERNI;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66020
Schiavi Di Abruzzo;SCHIAVI DI ABRUZZO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66045
Scorciosa;SCORCIOSA;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66022
Selva;SELVA;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66040
Selva Di Altino;SELVA DI ALTINO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66040
Selva Piana;SELVA PIANA;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66043
Semivicoli;SEMIVICOLI;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66010
Taranta Peligna;TARANTA PELIGNA;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66018
Taverna Di Schiavi Di Abruzzo;TAVERNA DI SCHIAVI DI ABRUZZO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66045
Terranova;TERRANOVA;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66010
Tollo;TOLLO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66010
Torino Di Sangro;TORINO DI SANGRO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66020
Torino Di Sangro Stazione;TORINO DI SANGRO STAZIONE;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66020
Tornareccio;TORNARECCIO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66046
Torrebruna;TORREBRUNA;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66050
Torrevecchia Teatina;TORREVECCHIA TEATINA;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66010
Torricella Peligna;TORRICELLA PELIGNA;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66019
Treglio;TREGLIO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66030
Tricalle;TRICALLE;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66100
Tufillo;TUFILLO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66050
Vacri;VACRI;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66010
Vasto;VASTO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66054
Vasto Marina;VASTO MARINA;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66054
Villa Caldari;VILLA CALDARI;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66026
Villa Elce;VILLA ELCE;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66034
Villa Grande;VILLA GRANDE;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66026
Villa Romagnoli;VILLA ROMAGNOLI;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66030
Villa San Leonardo;VILLA SAN LEONARDO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66026
Villa San Nicola;VILLA SAN NICOLA;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66026
Villa San Vincenzo;VILLA SAN VINCENZO;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66016
Villa Santa Maria;VILLA SANTA MARIA;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66047
Villa Tucci;VILLA TUCCI;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66014
Villalfonsina;VILLALFONSINA;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66020
Villamagna;VILLAMAGNA;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66010
Villascorciosa;VILLASCORCIOSA;Chieti;CHIETI;CH;Abruzzi;Roma Nomentana;Roma Nomentana;alta;66022
Abazia Di Sulmona;ABAZIA DI SULMONA;L'Aquila;L AQUILA;AQ;Abruzzi;Roma Nomentana;Roma Nomentana;alta;67039
Acciano;ACCIANO;L'Aquila;L AQUILA;AQ;Abruzzi;Roma Nomentana;Roma Nomentana;alta;67020
Aielli;AIELLI;L'Aquila;L AQUILA;AQ;Abruzzi;Roma Nomentana;Roma Nomentana;alta;67041
Aielli Stazione;AIELLI STAZIONE;L'Aquila;L AQUILA;AQ;Abruzzi;Roma Nomentana;Roma Nomentana;alta;67041
Albanese;ALBANESE;L'Aquila;L AQUILA;AQ;Abruzzi;Roma Nomentana;Roma Nomentana;alta;67039
Albe;ALBE;L'Aquila;L AQUILA;AQ;Abruzzi;Roma Nomentana;Roma Nomentana;alta;67050
Alfedena;ALFEDENA;L'Aquila;L AQUILA;AQ;Abruzzi;Roma Nomentana;Roma Nomentana;alta;67030
Antrosano;ANTROSANO;L'Aquila;L AQUILA;AQ;Abruzzi;Roma Nomentana;Roma Nomentana;alta;67051
Anversa Degli Abruzzi;ANVERSA DEGLI ABRUZZI;L'Aquila;L AQUILA;AQ;Abruzzi;Roma Nomentana;Roma Nomentana;alta;67030
Arabona;ARABONA;L'Aquila;L AQUILA;AQ;Abruzzi;Roma Nomentana;Roma Nomentana;alta;67039
Aragno;ARAGNO;L'Aquila;L AQUILA;AQ;Abruzzi;Roma Nomentana;Roma Nomentana;alta;67100
Aremogna;AREMOGNA;L'Aquila;L AQUILA;AQ;Abruzzi;Roma Nomentana;Roma Nomentana;alta;67037
Aringo;ARINGO;L'Aquila;L AQUILA;AQ;Abruzzi;Roma Nomentana;Roma Nomentana;alta;67015
Arischia;ARISCHIA;L'Aquila;L AQUILA;AQ;Abruzzi;Roma Nomentana;Roma Nomentana;alta;67100
Assergi;ASSERGI;L'Aquila;L AQUILA;AQ;Abruzzi;Roma Nomentana;Roma Nomentana;alta;67100
Ateleta;ATELETA;L'Aquila;L AQUILA;AQ;Abruzzi;Roma Nomentana;Roma Nomentana;alta;67030
Avezzano;AVEZZANO;L'Aquila;L AQUILA;AQ;Abruzzi;Roma Nomentana;Roma Nomentana;alta;67051
Bagnaturo;BAGNATURO;L'Aquila;L AQUILA;AQ;Abruzzi;Roma Nomentana;Roma Nomentana;alta;67035
Bagno;BAGNO;L'Aquila;L AQUILA;AQ;Abruzzi;Roma Nomentana;Roma Nomentana;alta;67100
Balsorano;BALSORANO;L'Aquila;L AQUILA;AQ;Abruzzi;Roma Nomentana;Roma Nomentana;alta;67052
Balsorano Nuovo;BALSORANO NUOVO;L'Aquila;L AQUILA;AQ;Abruzzi;Roma Nomentana;Roma Nomentana;alta;67052
Barete;BARETE;L'Aquila;L AQUILA;AQ;Abruzzi;Roma Nomentana;Roma Nomentana;alta;67010
Barisciano;BARISCIANO;L'Aquila;L AQUILA;AQ;Abruzzi;Roma Nomentana;Roma Nomentana;alta;67021
Barrea;BARREA;L'Aquila;L AQUILA;AQ;Abruzzi;Roma Nomentana;Roma Nomentana;alta;67030
Bazzano;BAZZANO;L'Aquila;L AQUILA;AQ;Abruzzi;Roma Nomentana;Roma Nomentana;alta;67100
Beffi;BEFFI;L'Aquila;L AQUILA;AQ;Abruzzi;Roma Nomentana;Roma Nomentana;alta;67020
Bisegna;BISEGNA;L'Aquila;L AQUILA;AQ;Abruzzi;Roma Nomentana;Roma Nomentana;alta;67050
Bugnara;BUGNARA;L'Aquila;L AQUILA;AQ;Abruzzi;Roma Nomentana;Roma Nomentana;alta;67030
Cagnano Amiterno;CAGNANO AMITERNO;L'Aquila;L AQUILA;AQ;Abruzzi;Roma Nomentana;Roma Nomentana;alta;67012
Calascio;CALASCIO;L'Aquila;L AQUILA;AQ;Abruzzi;Roma Nomentana;Roma Nomentana;alta;67020
Camarda;CAMARDA;L'Aquila;L AQUILA;AQ;Abruzzi;Roma Nomentana;Roma Nomentana;alta;67100
Campo Di Fano;CAMPO DI FANO;L'Aquila;L AQUILA;AQ;Abruzzi;Roma Nomentana;Roma Nomentana;alta;67030
Campo Di Giove;CAMPO DI GIOVE;L'Aquila;L AQUILA;AQ;Abruzzi;Roma Nomentana;Roma Nomentana;alta;67030
Campo Imperatore;CAMPO IMPERATORE;L'Aquila;L AQUILA;AQ;Abruzzi;Roma Nomentana;Roma Nomentana;alta;67100
Campotosto;CAMPOTOSTO;L'Aquila;L AQUILA;AQ;Abruzzi;Roma Nomentana;Roma Nomentana;alta;67013
Canistro;CANISTRO;L'Aquila;L AQUILA;AQ;Abruzzi;Roma Nomentana;Roma Nomentana;alta;67050
Canistro Inferiore;CANISTRO INFERIORE;L'Aquila;L AQUILA;AQ;Abruzzi;Roma Nomentana;Roma Nomentana;alta;67050
Canistro Superiore;CANISTRO SUPERIORE;L'Aquila;L AQUILA;AQ;Abruzzi;Roma Nomentana;Roma Nomentana;alta;67050
Cansano;CANSANO;L'Aquila;L AQUILA;AQ;Abruzzi;Roma Nomentana;Roma Nomentana;alta;67030
Capestrano;CAPESTRANO;L'Aquila;L AQUILA;AQ;Abruzzi;Roma Nomentana;Roma Nomentana;alta;67022
Capistrello;CAPISTRELLO;L'Aquila;L AQUILA;AQ;Abruzzi;Roma Nomentana;Roma Nomentana;alta;67053
Capitignano;CAPITIGNANO;L'Aquila;L AQUILA;AQ;Abruzzi;Roma Nomentana;Roma Nomentana;alta;67014
Caporciano;CAPORCIANO;L'Aquila;L AQUILA;AQ;Abruzzi;Roma Nomentana;Roma Nomentana;alta;67020
Cappadocia;CAPPADOCIA;L'Aquila;L AQUILA;AQ;Abruzzi;Roma Nomentana;Roma Nomentana;alta;67060
Cappelle;CAPPELLE;L'Aquila;L AQUILA;AQ;Abruzzi;Roma Nomentana;Roma Nomentana;alta;67068
Cappelle Dei Marsi;CAPPELLE DEI MARSI;L'Aquila;L AQUILA;AQ;Abruzzi;Roma Nomentana;Roma Nomentana;alta;67068
Carapelle Calvisio;CARAPELLE CALVISIO;L'Aquila;L AQUILA;AQ;Abruzzi;Roma Nomentana;Roma Nomentana;alta;67020
Carrito;CARRITO;L'Aquila;L AQUILA;AQ;Abruzzi;Roma Nomentana;Roma Nomentana;alta;67050
Carrufo;CARRUFO;L'Aquila;L AQUILA;AQ;Abruzzi;Roma Nomentana;Roma Nomentana;alta;67020
Carsoli;CARSOLI;L'Aquila;L AQUILA;AQ;Abruzzi;Roma Nomentana;Roma Nomentana;alta;67061
Casali D'Aschi;CASALI D ASCHI;L'Aquila;L AQUILA;AQ;Abruzzi;Roma Nomentana;Roma Nomentana;alta;67055
Casamaina;CASAMAINA;L'Aquila;L AQUILA;AQ;Abruzzi;Roma Nomentana;Roma Nomentana;alta;67045
Casamaina Di Lucoli;CASAMAINA DI LUCOLI;L'Aquila;L AQUILA;AQ;Abruzzi;Roma Nomentana;Roma Nomentana;alta;67045
