cap;branch
05018;Perugia
05020;Perugia
05021;Perugia
05022;Perugia
05023;Perugia
05024;Perugia
05025;Perugia
05026;Perugia
05027;Perugia
05028;Perugia
05029;Perugia
05030;Perugia
05031;Perugia
05032;Perugia
05034;Perugia
05035;Perugia
05039;Perugia
05100;Perugia
06010;Perugia
06012;Perugia
06014;Perugia
06015;Perugia
06016;Perugia
06019;Perugia
06021;Perugia
06022;Perugia
06023;Perugia
06024;Perugia
06025;Perugia
06026;Perugia
06027;Perugia
06028;Perugia
06029;Perugia
06030;Perugia
06031;Perugia
06033;Perugia
06034;Perugia
06035;Perugia
06036;Perugia
06038;Perugia
06039;Perugia
06040;Perugia
06041;Perugia
06042;Perugia
06043;Perugia
06044;Perugia
06045;Perugia
06046;Perugia
06047;Perugia
06049;Perugia
06050;Perugia
06053;Perugia
06054;Perugia
06055;Perugia
06056;Perugia
06057;Perugia
06059;Perugia
06060;Perugia
06061;Perugia
06062;Perugia
06063;Perugia
06064;Perugia
06065;Perugia
06066;Perugia
06069;Perugia
06073;Perugia
06081;Perugia
06083;Perugia
06084;Perugia
06089;Perugia
06121;Perugia
06122;Perugia
06123;Perugia
06124;Perugia
06125;Perugia
06126;Perugia
06127;Perugia
06128;Perugia
06129;Perugia
06130;Perugia
06131;Perugia
06132;Perugia
06133;Perugia
06134;Perugia
06135;Perugia
07010;Sassari
07011;Sassari
07012;Sassari
07013;Sassari
07014;Sassari
07015;Sassari
07016;Sassari
07017;Sassari
07018;Sassari
07019;Sassari
07020;Sassari
07021;Sassari
07022;Sassari
07023;Sassari
07024;Sassari
07025;Sassari
07026;Sassari
07027;Sassari
07028;Sassari
07029;Sassari
07030;Sassari
07031;Sassari
07032;Sassari
07033;Sassari
07034;Sassari
07035;Sassari
07036;Sassari
07037;Sassari
07038;Sassari
07039;Sassari
07040;Sassari
07041;Sassari
07043;Sassari
07044;Sassari
07045;Sassari
07046;Sassari
07047;Sassari
07048;Sassari
07049;Sassari
07051;Sassari
07052;Sassari
07100;Sassari
08010;Sassari
08011;Sassari
08012;Sassari
08013;Sassari
08015;Sassari
08016;Sassari
08017;Sassari
08018;Sassari
08019;Sassari
08020;Sassari
08021;Sassari
08022;Sassari
08023;Sassari
08024;Sassari
08025;Sassari
08026;Sassari
08027;Sassari
08028;Sassari
08029;Sassari
08030;Cagliari
08031;Sassari
08032;Sassari
08033;Cagliari
08034;Cagliari
08035;Cagliari
08036;Sassari
08037;Sassari
08038;Sassari
08039;Sassari
08040;Sassari
08042;Cagliari
08043;Cagliari
08044;Cagliari
08045;Cagliari
08046;Cagliari
08047;Cagliari
08048;Sassari
08049;Cagliari
08100;Sassari
09010;Cagliari
09011;Cagliari
09012;Cagliari
09013;Cagliari
09014;Cagliari
09015;Cagliari
09016;Cagliari
09017;Cagliari
09018;Cagliari
09019;Cagliari
09020;Cagliari
09021;Cagliari
09022;Cagliari
09023;Cagliari
09024;Cagliari
09025;Cagliari
09026;Cagliari
09027;Cagliari
09028;Cagliari
